Sample,Analysis,Unit,SiO2,TiO2,Al2O3,Cr2O3,MnO,FeO,Fe2O3 ,MgO,CaO,Na2O,K2O,H2O,Total ,Si_T,Al_T,Ti_T,Fe3_T,Tsub,Ti_C,Al_C,Cr_C,Fe3_C,Fe2_C,Mg_C,Csub,Mn_B,Fe2_B,Ca_B,Na_B,Bsub,Ca_A,Na_A,K_A,Asub,Total 
FC-83,83 1-2,Amphibolite,54.96,0.06,10.61,,0.12,13.91,1.35,7.51,0.81,6.52,0.05,2.13,98.03,7.879,0.121,,,8,0.006,1.671,,0.146,1.572,1.605,5,0.015,0.096,0.124,1.765,2,,0.047,0.009,0.056,15.056
FC-83,83 3-5,Amphibolite,54.4,0.04,12.09,0.03,0.06,12.43,0.9,7.8,0.89,6.58,0.08,2.15,97.45,7.784,0.216,,,8,0.004,1.823,0.003,0.097,1.409,1.664,5,0.007,0.079,0.136,1.778,2,,0.048,0.015,0.063,15.063
FC-84,84 2-1,Amphibolite,47.47,0.35,11.09,0.23,0.26,6.26,3.66,14.97,9.94,2.52,0.24,2.11,99.1,6.803,1.197,,,8,0.038,0.676,0.026,0.395,0.668,3.198,5.001,0.032,0.083,1.526,0.359,2,,0.341,0.044,0.385,15.386
FC-84,84 2-2,Amphibolite,48.01,0.28,10.21,0.2,0.2,6.7,2.3,15.6,10.98,2.2,0.26,2.11,99.05,6.884,1.116,,,8,0.03,0.609,0.023,0.248,0.756,3.334,5,0.024,0.048,1.687,0.241,2,,0.37,0.048,0.418,15.418
FC-84,84 2-3,Amphibolite,49,0.29,9.12,0.15,0.17,6.7,2.37,15.98,11.09,1.93,0.22,2.12,99.14,7.005,0.995,,,8,0.031,0.542,0.017,0.255,0.749,3.406,5,0.021,0.052,1.699,0.228,2,,0.307,0.04,0.347,15.347
FC-84,84 6-1,Amphibolite,56.23,0.02,1.23,0.06,0.26,6.3,1.01,19.31,11.79,0.96,0.07,2.15,99.389,7.898,0.102,,,8,0.002,0.101,0.007,0.107,0.74,4.043,5,0.031,,1.774,0.195,2,,0.066,0.013,0.079,15.079
FC-84,84 6-2,Amphibolite,50.98,0.16,6.45,0.25,0.2,6.11,2.43,17.22,11.45,1.34,0.17,2.13,98.89,7.271,0.729,,,8,0.017,0.355,0.028,0.261,0.678,3.661,5,0.024,0.051,1.75,0.175,2,,0.195,0.031,0.226,15.226
FC-84,84 5-1,Amphibolite,53.13,0.02,2.74,0.05,0.29,10.37,2.02,15.74,10.93,1.31,0.27,2.1,98.97,7.685,0.315,,,8,0.002,0.152,0.006,0.22,1.226,3.394,5,0.036,0.028,1.694,0.242,2,,0.125,0.05,0.175,15.175
FC-84,84 5-2,Amphibolite,47.82,0.31,9.99,0.05,0.22,7.6,1.48,15.42,11.52,2.11,0.24,2.1,98.86,6.893,1.107,,,8,0.034,0.59,0.006,0.161,0.897,3.313,5.001,0.027,0.019,1.779,0.175,2,,0.415,0.044,0.459,15.46
FC-84,84 3-1,Amphibolite,47.77,0.34,9.79,0.02,0.16,8.53,1.08,15.06,11.67,2.1,0.24,2.1,98.86,6.909,1.091,,,8,0.037,0.578,0.002,0.118,1.017,3.247,4.999,0.02,0.014,1.809,0.157,2,,0.431,0.044,0.475,15.474
FC-84,84 3-2,Amphibolite,51.73,0.18,6.66,0.05,0.25,5.66,3.15,17.45,10.99,1.62,0.09,2.13,99.96,7.278,0.722,,,8,0.019,0.382,0.006,0.333,0.6,3.66,5,0.03,0.066,1.657,0.248,2.001,,0.194,0.016,0.21,15.211
FC-84,84 3-3,Amphibolite,47.22,0.41,10.75,0.07,0.2,7.65,1.74,15.16,11.37,2.3,0.28,2.1,99.25,6.794,1.206,,,8,0.044,0.616,0.008,0.188,0.891,3.251,4.998,0.024,0.029,1.753,0.194,2,,0.448,0.051,0.499,15.497
FC-84,84 2-4,Amphibolite,47.88,0.27,9.71,0.16,0.21,6.99,1.86,15.74,11.54,1.9,0.24,2.11,98.61,6.906,1.094,,,8,0.029,0.556,0.018,0.202,0.81,3.384,4.999,0.026,0.033,1.783,0.158,2,,0.373,0.044,0.417,15.416
FC-84,84 2-5,Amphibolite,47.67,0.34,10.27,0.08,0.21,7.22,1.9,15.32,11.28,2.04,0.24,2.11,98.679,6.873,1.127,,,8,0.037,0.618,0.009,0.206,0.836,3.293,4.999,0.026,0.034,1.743,0.198,2.001,,0.373,0.044,0.417,15.417
FC-84,84 2-6,Amphibolite,47.54,0.35,10.62,0.14,0.16,6.78,2.59,15.37,11.06,2.04,0.26,2.11,99.02,6.826,1.174,,,8,0.038,0.623,0.016,0.28,0.753,3.29,5,0.019,0.061,1.702,0.218,2,,0.35,0.048,0.398,15.398
FC-84,84 4-1aa,Amphibolite,53.3,0.13,5.54,0,0.27,7.5,1.14,17.5,12.38,1,0.09,2.13,100.98,7.441,0.559,,,8,0.014,0.352,,0.12,0.873,3.642,5.001,0.032,0.003,1.852,0.113,2,,0.157,0.016,0.173,15.174
FC-84,84 5-1aa,Amphibolite,53.41,0.18,5.34,0,0.27,7.81,0.8,17.53,12.52,1.01,0.16,2.12,101.149,7.453,0.547,,,8,0.019,0.331,,0.084,0.911,3.647,5,0.024,,1.872,0.104,2,,0.169,0.028,0.197,15.197
FC-90,fc 90 2-2,Na-amphibole schist,55.96,0.01,10.42,0.03,0.16,12.54,1.04,8.9,0.76,6.54,0.32,2.15,98.829,7.905,0.095,,,8,0.001,1.64,0.003,0.11,1.371,1.874,4.999,0.019,0.111,0.115,1.755,2,,0.036,0.058,0.094,15.093
FC-90,fc 90 2-3,Na-amphibole schist,56.08,0.01,10.14,0.06,0.15,12.45,1.19,8.81,0.75,6.57,0.03,2.15,98.39,7.943,0.057,,,8,0.001,1.636,0.007,0.127,1.369,1.86,5,0.018,0.106,0.114,1.763,2.001,,0.042,0.005,0.047,15.048
FC-90,fc 90 2-4,Na-amphibole schist,55.67,0.01,9.58,0.06,0.22,12.79,1.53,8.98,1.18,6.26,0.02,2.14,98.44,7.918,0.082,,,8,0.001,1.524,0.007,0.164,1.4,1.904,5,0.027,0.121,0.18,1.673,2.001,,0.054,0.004,0.058,15.059
FC-90,fc 90 2-6,Na-amphibole schist,55.68,0.03,10.19,0.05,0.14,12.44,1.64,8.85,0.95,6.49,0.03,2.15,98.64,7.887,0.113,,,8,0.003,1.588,0.006,0.175,1.359,1.869,5,0.017,0.114,0.144,1.725,2,,0.057,0.005,0.062,15.062
FC-90,fc 90 2-7,Na-amphibole schist,55.99,0.04,10.32,0.06,0.11,12.76,1.24,8.67,0.66,6.58,0.03,2.15,98.611,7.922,0.078,,,8,0.004,1.643,0.007,0.132,1.385,1.829,5,0.013,0.125,0.1,1.762,2,,0.043,0.005,0.048,15.048
FC-90,fc 90 2-8,Na-amphibole schist,56.03,0.16,10.38,0.03,0.14,12.65,1.01,8.72,0.84,6.52,0.01,2.15,98.643,7.918,0.082,,,8,0.017,1.646,0.003,0.111,1.386,1.837,5,0.017,0.106,0.127,1.75,2,,0.036,0.002,0.038,15.038
FC-90,fc 90 1-2,Na-amphibole schist,55.2,0.01,10.19,0.01,0.17,12.2,1.89,8.84,1.23,6.39,0.03,2.14,98.3,7.855,0.145,,,8,0.001,1.564,0.001,0.202,1.356,1.875,4.999,0.02,0.096,0.188,1.696,2,,0.067,0.005,0.072,15.071
FC-91, 12c-amph,Shuksan blueschist-greenschist,54.93,0.01,1.63,0.05,0.36,12.5,1.56,15.31,11.43,0.87,0.09,2.09,100.83,7.832,0.168,,,8,0.001,0.106,0.006,0.167,1.465,3.254,4.999,0.043,0.025,1.746,0.185,1.999,,0.055,0.016,0.071,15.069
FC-91, 33m-amph,Shuksan blueschist-greenschist,58.03,0.11,11.02,,0.27,14.12,0,7.65,0.34,6.7,0.21,2.15,100.6,8.033,,,,8.033,0.011,1.798,,,1.612,1.579,5,0.032,0.023,0.05,1.798,1.903,,,0.037,0.037,14.973
